id,published,title,categories
9210228,1992-10-10,Optical Hamiltonians and symplectic twist maps,math.DS math.SG
9210095,1992-10-17,"Symplectic Geometries on $T^*\widetilde{G}$, Hamiltonian Group Actions and Integrable Systems",hep-th math.QA math.SG
9301111,1993-01-26,On Foundation of the Generalized Nambu Mechanics,hep-th math.SG
9303038,1993-03-04,Symplectic structures associated to Lie-Poisson groups,hep-th math.SG
9306216,1993-06-12,The geometry of symplectic energy,math.DG math.SG
9308132,1993-08-27,BRST model applied to symplectic geometry,hep-th math.SG
9312213,1993-12-01,Poisson structures on the cotangent bundle of a Lie group or a principal bundle and their reductions,math.SG math.DG
9312112,1993-12-14,Symplectic and Poisson structures of certain moduli spaces,hep-th math.SG
9312113,1993-12-14,Poisson geometry of flat connections for $\roman{SU}(2)$-bundles on surfaces,hep-th math.SG
9312183,1993-12-23,BRST structure of polynomial Poisson algebras,hep-th math.SG
9406061,1994-06-10,Symplectic geometry and Hamiltonian flow of the renormalisation group equation,hep-th cond-mat math.SG
9406120,1994-06-17,Superanalogs of symplectic and contact geometry and their applications to quantum field theory,hep-th math.SG
9409105,1994-09-19,Structures Symplectiques sur les Espaces de Courbes Projectives et Affines,hep-th math.SG
9508013,1995-08-28,Manin Triples for Lie Bialgebroids,math.DG math.SG
9510006,1995-10-23,"Group systems, groupoids, and moduli spaces of parabolic bundles",math.DG math.SG
9702004,1997-02-11,Pseudodifferential operators on differential groupoids,math.FA math.DG math.OA math.QA math.SG
9706005,1997-06-05,Surgery on Lagrangian and Legendrian Singularities,math.DG math.SG
9711005,1997-11-10,New examples of conservative systems on S^2 possessing an integral cubic in momenta,math.DG math.SG
9801063,1998-01-13,On the case of Kovalevskaya and new examples of integrable conservative systems on S^2,math.DG math.SG
9801139,1998-01-30,A Remark on Formal KMS States in Deformation Quantization,math.QA math.SG
9802078,1998-02-17,A Remark on Non-equivalent Star Products via Reduction for CP^n,math.QA math.SG
9802082,1998-02-18,Covariant Poisson Structures on Complex Projective Spaces,math.SG math.QA
9802125,1998-02-27,Generating functions for the number of curves on Abelian surfaces,math.AG math.SG
9803026,1998-03-09,On the quantum cohomology of a symmetric product of an algebraic curve,math.AG math.DG math.SG
9804014,1998-04-03,Pseudo-holomorphic curves and envelopes of meromorphy of two-spheres in $CP^2$,math.CV math.DG math.SG
9804083,1998-04-17,Compactification of moduli of Higgs bundles,math.AG math.DG math.SG
9804108,1998-04-22,Algebraic and symplectic Gromov-Witten invariants coincide,math.AG math.GT math.SG
9804135,1998-04-29,Degenerate Chern-Weil Theory and Equivariant Cohomology,math.DG math.AT math.SG
9805072,1998-05-15,Formality of canonical symplectic complexes and Frobenius manifolds,math.SG
9806013,1998-06-03,Gromov-Witten Invariants of Symplectic Sums,math.SG math.AG
9806094,1998-06-18,Off-center Reflections: Caustics and Chaos,math.DS math.SG
9806135,1998-06-24,The Virasoro group and the fourth geometry of Poincaré,math.DG math.SG
9806152,1998-06-29,Hamiltonian loops from the ergodic point of view,math.DG math.DS math.SG
9807009,1998-07-02,Gradient Kähler-Ricci Solitons and Periodic Orbits,math.DG math.SG
9807018,1998-07-03,The cohomology ring of symplectic cuts,math.SG math.AG math.AT math.DG
9807042,1998-07-09,The Duistermaat-Heckman Measure for the Coadjoint Orbits of Compact Semisimple Lie Groups,math.SG math.DG
9807188,1998-07-12,Symplectic fillings and positive scalar curvature,math.GT math.DG math.SG
9807080,1998-07-15,"Multisymplectic geometry, variational integrators, and nonlinear PDEs",math.DG math-ph math.DS math.NA math.SG
9807086,1998-07-16,"Multisymplectic geometry, covariant Hamiltonians, and water waves",math.DG math.DS math.SG
9807088,1998-07-16,On the asphericity of a symplectic M3 x S1,math.GT math.SG
9807110,1998-07-21,Jeffrey-Kirwan-Witten Localization Formula for Reductions at Regular Co-adjoint Orbits,math.SG math.RT
9807124,1998-07-22,Non-Commutative Geometry Methods for Group C*-Algebras,math.KT math.OA math.RT math.SG
9807027,1998-07-24,Strict quantization of coadjoint orbits,math-ph math.OA math.SG
9807028,1998-07-24,Twisted Lie group $C^*$-algebras as strict quantizations,math-ph math.OA math.SG
9807173,1998-07-30,The cohomology rings of abelian symplectic quotients,math.DG math.AG math.SG
9808005,1998-08-03,On symplectic double groupoids and the duality of Poisson groupoids,math.DG math.SG
9808008,1998-08-03,Almost Complex Structures on $S^2\times S^2$,math.SG
9808027,1998-08-05,Some questions about the index of quantized contact transformations,math.DG math.SG
9808029,1998-08-06,The quantization conjecture revisited,math.AG math.SG
9808108,1998-08-26,Smooth Modules over Lie Algebroids I,math.AG math.QA math.SG
9808112,1998-08-27,Lie local subgroupoids and their holonomy and monodromy Lie groupoids,math.DG math.SG
9808116,1998-08-27,Geometric Quantization of Vector Bundles,math.QA math.OA math.SG
9809030,1998-09-06,A Wall-crossing Formula for the Signature of Symplectic Quotients,math.SG math.DG
9809031,1998-09-07,A K-Theoretic Note on Geometric Quantization,math.SG math.KT
9809032,1998-09-07,Fedosov Star-Products and 1-Differentiable Deformations,math.QA math.SG
9809011,1998-09-10,Obstructions to Quantization,math-ph math.SG quant-ph
9809076,1998-09-15,A Geometric Realization of Degenerate Principal Series Representations of Symplectic Groups,math.RT math.SG
9809015,1998-09-16,On the Groenewold-Van Hove problem for R^{2n},math-ph math.SG quant-ph
9809146,1998-09-24,Cohomology of the Mumford Quotient,math.SG math.AG math.DG
9809192,1998-09-30,A Note on Higher Cohomology Groups of Kähler Quotients,math.SG
9810020,1998-10-05,Signature via Novikov numbers,math.SG math.AT math.DG
9810030,1998-10-06,Massey products and critical points,math.DG math.AT math.SG
9810046,1998-10-07,Intersection cohomology of $S^1$ symplectic quotients and small resolutions,math.DG math.AG math.AT math.SG
9810064,1998-10-09,Symmetric pairs and moment spaces,math.SG math.DG
9810065,1998-10-11,On existence of nonformal simply connected symplectic manifolds,math.SG
9810071,1998-10-12,Contact structures and periodic fundamental groups,math.DG math.SG
9810081,1998-10-13,Gromov-Witten Invariants of Blow-ups Along Points and Curces,math.AG math.DG math.SG
9810101,1998-10-15,The relation between compact and non-compact equivariant cobordisms,math.DG math.AT math.SG
9810114,1998-10-18,Von Neumann Betti numbers and Novikov type inequalities,math.DG math-ph math.AT math.RT math.SG
9810122,1998-10-19,A limit of toric symplectic forms that has no periodic Hamiltonians,math.SG
9810125,1998-10-20,"Coadjoint orbits, moment polytopes, and the Hilbert-Mumford criterion",math.SG math.AG math.RT
9810171,1998-10-29,Legendrian links of topological unknots,math.GT math.SG
9810090,1998-10-30,An Expansion Term In Hamilton's Equations,gr-qc math.SG
9811014,1998-11-04,Hamiltonian Dynamical Systems Without Periodic Orbits,math.DG math.DS math.SG
9811019,1998-11-04,Nondiffeomorphic symplectic 4-manifolds with the same Seiberg-Witten invariants,math.SG math.GT
9811032,1998-11-06,Instantons and Kaehler Geometry of Nilpotent Orbits,math.SG math.AG
9811033,1998-11-06,Geometric Quantization of Real Minimal Nilpotent Orbits,math.SG math.RT
9811049,1998-11-08,The Correspondence between Geometric Quantization and Formal Deformation Quantization,math.QA math-ph math.OA math.SG
9811055,1998-11-09,On representations of star product algebras over cotangent spaces on Hermitian line bundles,math.QA math-ph math.FA math.SG
9811057,1998-11-09,Holomorphic quantization formula in singular reduction,math.DG math.AG math.SG
9811093,1998-11-15,Hyperelliptic Lefschetz fibrations and branched covering spaces,math.GT math.SG
9811167,1998-11-28,On nonformal simply connected symplectic manifolds,math.SG
9811172,1998-11-30,Quantum groupoids associated to universal dynamical R-matrices,math.QA math.SG
9811173,1998-11-30,Topology of closed 1-forms and their critical points,math.DG math.SG
9812002,1998-12-01,A perfect Morse function on the moduli space of flat connections,math.SG math.AG math.AT
9812005,1998-12-01,Deformations of Noncompact Complex Curves and Meromorphic Envelopes of Spheres,math.CV math.DG math.SG
9812006,1998-12-01,On the cohomology rings of Hamiltonian T-spaces,math.DG math.AG math.AT math.SG
9812015,1998-12-02,On semifree symplectic circle actions with isolated fixed points,math.DG math.SG
9812019,1998-12-02,Lagrangian Embeddings and Holomorphic Discs in the Complement of Complex Hypersurfaces,math.GT math.SG
9812041,1998-12-07,Nearly Kahlerian Embeddings of Symplectic Manifolds,math.DG math-ph math.SG
9812061,1998-12-07,Theoretical and Phenomenological Aspects of Superstring Theories,hep-th cond-mat hep-ph math-ph math.AG math.MG math.SG physics.soc-ph
9812051,1998-12-08,Minimal number of singular fibers in a Lefschetz fibration,math.GT math.SG
9812064,1998-12-10,Nambu-Lie Groups,math.DG math.SG
9812077,1998-12-14,Wirtinger numbers and holomorphic symplectic immersions,math.AG math.CV math.DG math.SG
9812081,1998-12-14,The Deformation of Lagrangian Minimal Surfaces in Kahler-Einstein Surfaces,math.DG math.SG
9812103,1998-12-17,"Homotopical Dynamics II: Hopf invariants, smoothings and the Morse complex",math.GT math.AT math.DS math.SG
9812148,1998-12-28,Fixed point formula and loop group actions,math.AG math.SG
9812149,1998-12-28,Fusion product of co-adjoint orbits,math.AG math.SG
9812153,1998-12-28,Holonomy on Poisson Manifolds and the Modular Class,math.DG math.QA math.SG
9901015,1999-01-05,BRST Cohomology and Phase Space Reduction in Deformation Quantisation,math.QA math-ph math.SG
9901142,1999-01-06,The structure of pseudo-holomorphic subvarieties for a degenerate almost complex structure and symplectic form on S^1 X B^3,math.SG math.DG
9901047,1999-01-11,A Survey on Nambu-Poisson Brackets,math.DG math.SG
9901086,1999-01-21,Schrodinger flows on Grassmannians,math.DG math.SG nlin.SI
9901102,1999-01-22,On relative normal modes,math.SG math.DG math.DS
9901117,1999-01-26,A Note on n-ary Poisson Brackets,math.SG
9901133,1999-01-28,Arnold-type invariants of wave fronts on surfaces,math.GT math.SG
9902028,1999-02-04,Symplectic surfaces in a fixed homology class,math.SG math.DG
9902012,1999-02-08,On Quantizing Nilpotent and Solvable Basic Algebras,math-ph math.SG quant-ph
9902059,1999-02-08,Moment maps and Riemannian symmetric pairs,math.SG math.AG math.RT
9902066,1999-02-10,Berezin-Toeplitz quantization and Berezin symbols for arbitrary compact Kaehler manifolds,math.QA hep-th math-ph math.AG math.CV math.DG math.SG quant-ph
9902098,1999-02-16,The Transversal Relative Equilibria of a Hamiltonian System with Symmetry,math.SG math-ph math.DS
9902115,1999-02-19,Jumping oscillator,math.DG hep-th math-ph math.AP math.DS math.SG
9902148,1999-02-26,Periodic Orbits in Magnetic Fields in Dimensions Greater Than Two,math.DG math.DS math.SG
9903006,1999-03-01,On hyperelliptic $C^\infty$-Lefschetz fibrations of four-manifolds,math.GT math.AG math.SG
9903015,1999-03-08,Local moment maps and the splitting of classical multiplets,math-ph hep-th math.DS math.SG
9903047,1999-03-08,Gromov compactness theorem for stable curves,math.DG math.CV math.GT math.SG
